ID,Wave,Epic,Priority,Status,Summary,Description,Pts
SEC-4,WAVE 5,EDGAR v2.0,HIGH,OPEN,Add officer level filter to Form 4 — CEO/CFO/COO/President only for credibility filter,"EDGAR Form 4 XML contains reportingOwner/officerTitle field. Parse: flag CEO, CFO, COO, President, EVP as OFFICER_LEVEL_PASS. Flag: VP, Director, 10% Owner as OFFICER_LEVEL_WATCH. Flag: Board member as OFFICER_LEVEL_ROUTINE (lower signal). Write officer level to EDGAR_.txt. Enables v2.0 credibility filter: 'CEO/CFO/COO open-market buys/sells >$500K = PASS'. Requires Form 4 XML parse per filing (same call as SEC-2).",3
SEC-5,WAVE 5,EDGAR v2.0,HIGH,OPEN,Add minute-window cluster detection for same-entity or same-sector filing bursts,Current: same-day cluster only. Add: 15-minute window cluster. Algorithm: sort all Form 4s by filed_at timestamp. Slide 15-minute window. If 3+ filings against same entity OR same GICS sector within window: flag as TIMED_CLUSTER with window duration (e.g. '4 entities · 7 min · 301KB'). TIMED_CLUSTER > SAME_DAY_CLUSTER in signal strength. Write cluster flag prominently at top of P1 section.,3
SEC-6,WAVE 5,EDGAR v2.0,HIGH,OPEN,Add Form 144 confirmation tracking — cross-run state for proposed vs confirmed sales,"Form 144 = proposed sale only. v2.0 constraint: do not use as short confirmation until corresponding Form 4 disposal appears under same CIK. Implement: write pending_144s.json to dexter_data/ — dict of {CIK: [proposed_date, entity]}. On each run: check pending_144s.json against today's Form 4 disposals. If Form 4 disposal found for same CIK: mark as CONFIRMED, clear from pending. Write 144 status to EDGAR_.txt: [PROPOSED - awaiting Form 4] or [CONFIRMED - Form 4 filed DATE].",3
SEC-7,WAVE 5,EDGAR v2.0,MED,OPEN,Add Item 7.01 Reg FD mandatory extraction from 8-K filings,"Current: 8-K keyword search only. Add: specific Item 7.01 extraction. EDGAR EFTS search for 8-K with q='Item 7.01' OR 'Regulation FD'. For each hit, fetch the filing index page to identify exhibit type. Write to EDGAR_.txt: 'Item 7.01 Reg FD: [entity] [date] — [what was selectively disclosed]'. Phase 3 LLM instruction: Item 7.01 is mandatory extraction — the signal is what management shared with analysts before public filing.",3
SEC-8,WAVE 5,EDGAR v2.0,MED,OPEN,Add 13D→13G and 13G→13D reclassification detection,"Current: retrieves both form types but does not detect direction changes. Add: for each 13D/G amendment, check prior filing by same filer+CIK in edgar_state.json. If prior = 13D and current = 13G: flag 13D→13G HARVEST (activist reducing, often precedes exit). If prior = 13G and current = 13D: flag 13G→13D DEPLOYMENT (passive becoming activist). Write reclassification direction to EDGAR_.txt: '[HARVEST] Filer X: 13D→13G on Entity Y — activist reducing influence'. State: harvest/deployment is more important than the raw form type.",3
SEC-9,WAVE 5,EDGAR v2.0,MED,OPEN,Upgrade EDGAR LLM instruction block to v2.0 prompt schema,"Replace current 6-line Phase 3 instruction block with full v2.0 schema. Add: (1) Blind Spot section — naming the one truth the news cycle cannot see. (2) Assumption Invalidation — which consensus assumption today's filings challenge. (3) Alpha Signal with all required v2.0 fields: GICS 8-digit, Signal Source with item number, Textual Evidence citation, Thesis, NLLI Phase (Velocity/Exhaustion), Entry Trigger, Time Horizon, LFI/CCS/CXOD qualifiers, 144 Confirmation Status, Key Risk, Invalidation Signal. (4) Chain-of-thought enforcement: no inference without filing citation.",3
SEC-10,WAVE 5,EDGAR v2.0,MED,OPEN,Add SEC Filing Analysis Prompt v2.0 as a foundation file in NotebookLM upload,SEC_Filing_Analysis_Prompt_Version_2_0.md uploaded to NotebookLM alongside SOUL.md / MACRO_TIERS.md etc. Phase 3 uses it as the forensic framework document. Add to dexter_notebooklm_upload.py FOUNDATION_FILES list. Add to HEARTBEAT.md 06:00 upload checklist. Add to MIDAS_SENTINEL_PROMPT_LIBRARY v2026.5 Phase 3 source document reference.,1
GMISR-9,WAVE 5,GMISR v2.0,HIGH,OPEN,Add Block 5 EDGAR Forensic to Phase 5 GMISR schema with v2.0 structure,"New dedicated EDGAR block in Phase 5 GMISR output. Structure: (1) Cluster alert section — timed clusters at top with entity/window/size metadata. (2) Filing inventory table with Form | Entity | GICS | CIK | Size | Direction | NLLI Phase. (3) Blind Spot — one truth news cycle cannot see (with filing citation). (4) Assumption Invalidation — consensus challenged by today's filings. (5) Alpha Signal pair trade with full v2.0 fields including LFI/CCS/CXOD qualifiers and Form 144 confirmation status. P1-P5 filter buttons in HTML output (clusters vs routine toggle). Phase 3 NARRATIVE_ALPHA contract adds: blind_spot, assumption_invalidation, edgar_nlli_phase fields.",3
POLY-1,WAVE 5,Polymarket Layer,HIGH,OPEN,Install py-clob-client and write run_polymarket() — Module 10,"pip install py-clob-client (official Polymarket Python SDK). New function run_polymarket(out_dir, run_date, dead_letters). Query Gamma API (gamma-api.polymarket.com/markets) — no auth required for read-only. Level 0 (no wallet) sufficient for midpoint price queries. Fetch YES token midpoint price for each watched slug → implied probability (0–1 = 0–100%). Graceful failure: if Gamma API unreachable, write UNAVAILABLE and continue pipeline. ETL version bump to 1.8.1.0.",3
POLY-2,WAVE 5,Polymarket Layer,HIGH,OPEN,Define POLY_WATCH_SLUGS — 7 macro event slugs mapped to MACRO_TIERS tiers,"Create module-level constant POLY_WATCH_SLUGS dict: slug → (display_name, tier_tag, soul_threshold_reference). Initial 7 slugs: fed-rate-cut-2026 (Tier -1, fra_ois_watch), fomc-pause-may (Tier -1, fra_ois_emergency), us-recession-2026 (Tier -2, net_liq_roc_emergency), brent-crude-above-100-june (Tier 2, COMMODITY_REGIME), us-cpi-above-4-percent-2026 (Tier 1, T10YIE), japan-rate-hike-q2-2026 (Tier 3, usdjpy_deleverage), ecb-rate-cut-june-2026 (Tier 3, usdchf_stress). Slugs verified against live Gamma API before committing. Document in SYNC_CONTRACT v1.4 as new data source.",2
POLY-3,WAVE 5,Polymarket Layer,HIGH,OPEN,Compute 24h probability delta from Parquet history and write POLYMARKET_SNAPSHOT file,"Load prior day's polymarket_signals Parquet row (from parquet store, P1-1 prerequisite). Compute delta_24h = current_prob - prior_prob for each slug. Flag ALERT if abs(delta_24h) >= 0.05 (5 percentage point move in 24h). Write POLYMARKET_SNAPSHOT_{date}.txt — structured format: SLUG | PROB_PCT | DELTA_24H | LIQUIDITY_USD | TIER_TAG | ALERT | SIGNAL_NOTE. SIGNAL_NOTE is one sentence: 'brent-above-100 at 78% and rising (+6pp) — aligns with COMMODITY_REGIME composite active in ETL TIER_3.' Also write row to polymarket_signals Parquet table partitioned by run_date.",3
POLY-4,WAVE 5,Polymarket Layer,MED,OPEN,Add liquidity filter — minimum $50K open interest to suppress noise,"Polymarket markets vary from $1K to $100M+ in liquidity. Low-liquidity markets (<$50K) produce volatile prices that do not represent genuine information aggregation — they are manipulable by single traders. Add: query Gamma API market volume/liquidity fields. If market volume_24h < $50,000: write ILLIQUID flag, reduce signal confidence to LOW. If volume_24h >= $50,000 and < $500,000: MEDIUM confidence. If volume_24h >= $500,000: HIGH confidence. Write confidence level to POLYMARKET_SNAPSHOT alongside each slug.",2
POLY-5,WAVE 5,Polymarket Layer,MED,OPEN,Add oracle dispute risk flag based on event type classification,"Six major Polymarket controversies in 2025 exhibited recurring failure modes: definition ambiguity, oracle disputes, settlement refusals. Add ORACLE_RISK classification per slug type: LOW — binary economic data releases (CPI above/below X%): objective, numeric settlement. MEDIUM — Fed/ECB rate decisions: objective but timing disputes possible. HIGH — geopolitical/conflict events: definition disputes common (Hormuz 'closed' definition). Write ORACLE_RISK to POLYMARKET_SNAPSHOT. Phase 3 instruction: do not use HIGH oracle_risk slugs as ground truth — directional signal only with stated confidence weighting.",2
POLY-6,WAVE 5,Polymarket Layer,MED,OPEN,Persist polymarket_signals to Parquet — Layer 1 integration,"Add polymarket_signals table to gmisr_metrics Parquet store (Wave 6 P1-1 prerequisite). Schema: run_date DATE PK, slug VARCHAR, prob_pct FLOAT, delta_24h FLOAT, volume_usd FLOAT, confidence VARCHAR, oracle_risk VARCHAR, alert BOOL. One row per slug per day. Enables: DuckDB queries across 90 days of probability history, correlation with regime labels, feature for Wave 7 HMM classifier. Add POLYMARKET_SNAPSHOT_{date}.txt to NotebookLM upload list in dexter_notebooklm_upload.py DAILY_FILES_PRIORITY.",2
POLY-7,WAVE 5,Polymarket Layer,HIGH,OPEN,Add polymarket_divergence field to Phase 3 NARRATIVE_ALPHA contract,"Phase 3 NARRATIVE_ALPHA contract new field: polymarket_divergence. Phase 3 instruction: for each POLY_WATCH_SLUG with confidence >= MEDIUM: (1) Compare implied probability against current TIER_AUDIT regime read. (2) Check alignment: brent-above-100 at 78% + COMMODITY_REGIME = ALIGNED.     fed-rate-cut at 67% + Regime A (contraction) = CONTRADICTS. (3) If CONTRADICTS: surface as polymarket_divergence signal —     'Polymarket implies [X] but ETL regime implies [Y] — divergence is the signal.' (4) Do not resolve the contradiction — surface it for human review. CONFIDENCE WEIGHTING: Polymarket < SEC filings < TIER_AUDIT. If Polymarket and TIER_AUDIT diverge, never override TIER_AUDIT.",3
GMISR-10,WAVE 5,GMISR v2.0,HIGH,OPEN,Add Block 2.7 Prediction Market Probability Layer to Phase 5 GMISR schema,"New block between Economic Calendar (2.5) and Scored Metrics (2). Structure: (1) Probability table: SLUG | PROB | 24H_DELTA | CONFIDENCE | ALIGNMENT.     Alignment = ALIGNED / PARTIAL / CONTRADICTS vs current ETL regime.     Delta coloured: green=prob rising toward regime thesis, red=falling. (2) Divergence alert: if any slug CONTRADICTS current regime —     surface as named alert: 'Polymarket fed-rate-cut at 67% contradicts     Regime A (contraction) — smart money pricing pivot not yet in ETL signal.' (3) Confirmation note: slugs that ALIGN with active regime add confidence.     'brent-above-100 at 78% (+6pp) confirms COMMODITY_REGIME composite.' Filter buttons: All / Macro / Energy / FX / Geopolitical. Confidence and oracle_risk badges per slug.",3
SYNC-2,WAVE 5,Docs,MED,OPEN,Update DEXTER_SYNC_CONTRACT v1.4 — Polymarket source registry,"Add Polymarket section to SYNC_CONTRACT: API: gamma-api.polymarket.com (no auth, read-only) — confirmed working. SDK: py-clob-client (pip install py-clob-client). Auth: Level 0 (no wallet) for read queries. Cadence: daily at ETL run time (05:45 ET). Output: POLYMARKET_SNAPSHOT_{date}.txt. Parquet: polymarket_signals table. Confidence hierarchy: SEC EDGAR > TIER_AUDIT > Polymarket > RSS. Oracle risk taxonomy: LOW (numeric release) / MEDIUM (rate decision) / HIGH (geopolitical). Conflict resolution: TIER_AUDIT always wins. Divergence = surface to human, not auto-resolve. DO NOT use: poly_data library, Apify scraper, 30-minute intraday monitor (wrong architecture for daily brief pipeline).",1
SYNC-3,WAVE 5,Docs,MED,OPEN,Add Polymarket to MACRO_TIERS v3.3 as a Tier -1 / Tier 3 leading indicator source,"Add to MACRO_TIERS §Tier -1 (Repo / Interbank / CCBS): 'Polymarket prediction markets for Fed/ECB/BoJ rate decisions provide real-time implied probability of rate path changes. HIGH liquidity (>$500K) and LOW oracle_risk slugs only. Treat as directional signal below TIER_AUDIT confidence.' Add to §Tier 3 (FX): 'Polymarket geopolitical slugs (Hormuz, conflict escalation) provide leading probability for DXY safe-haven demand spikes. HIGH oracle_risk — use with explicit caveat.' Version bump: MACRO_TIERS v3.3.",1
POLY-8,WAVE 5,Polymarket Layer,LOW,OPEN,Add earnings volatility contract monitoring for Tier 6 earnings Delta cross-check,"For active earnings week: query Polymarket for earnings-related contracts (e.g. ADBE-earnings-beat, NVDA-revenue-above-X). Cross-reference with Tier 6 Earnings Delta score from EARNINGS_CALENDAR. Phase 3 instruction: 'Compare implied earnings beat probability from Polymarket with Earnings Delta score from EDGAR and management tone from NARRATIVE_ALPHA. Is there a divergence between prediction market and fundamental signal?' Only for HIGH liquidity contracts (>$500K). Flag LOW/MEDIUM liquidity as noise. Add to EARNINGS_CALENDAR section of GMISR as supplemental probability field.",2
ARCH-1,WAVE 7,Medallion Architecture,HIGH,OPEN,Provision Databricks workspace and Unity Catalog — midas.bronze/silver/gold namespaces,"Create Databricks workspace (Azure/AWS). Enable Unity Catalog. Create three-level namespace: catalog=midas, schemas=bronze/silver/gold. Grant Dexter ETL service principal WRITE on bronze, READ on silver/gold. Grant OpenClaw/Claude MCP service principal READ on silver and gold only. This is the prerequisite gate for all M-BRNZ, M-SILV, M-GOLD items. Databricks is already in the connected MCP server list (dbc-0df8fb6d-4908.cloud.databricks.com).",3
ARCH-2,WAVE 7,Medallion Architecture,HIGH,OPEN,Define canonical entity resolution schema — ticker normalisation map,"Current state: GC=F (yfinance) vs GOLD (equities txt) vs COM_GOLD (proposed canonical). Build ENTITY_MAP table in Unity Catalog: source_id, source_system, canonical_id, asset_class. Examples: GC=F → COM_GOLD, DX-Y.NYB → FX_DXY, WALCL → FRED_WALCL. All Silver tables join through ENTITY_MAP — never raw source identifiers. This is the entity resolution (Gate 3) prerequisite for all Silver transforms. Also resolves the 'calculation difference' problem: one canonical ID, one calculation.",3
ARCH-3,WAVE 7,Medallion Architecture,MED,OPEN,Define temporal alignment standard — ISO-8601 UTC across all layers,"Current state: TIER_AUDIT uses ET timestamp, SEC_FTD uses YYYY-MM-DD date only, News corpus uses RFC-822 (Fri, 20 Mar 2026), FRED uses YYYY-MM-DD. Silver standard: all timestamps converted to ingest_timestamp_utc (ISO-8601, UTC). Write timestamp_normalise(raw_ts, source_tz) utility function used in all DLT transforms. Document in SYNC_CONTRACT v1.5 as the temporal alignment canonical rule.",2
BRNZ-1,WAVE 7,Bronze Layer,HIGH,OPEN,Register ETL flat-file outputs as Delta Lake Bronze tables in Unity Catalog,"Current Wave 6 P1-1 writes Parquet locally. Extend: also COPY INTO midas.bronze.{table} after each ETL run. One Bronze table per ETL output file type: bronze.fred_summary, bronze.market_data, bronze.treasury_auctions, bronze.dollar_decomp, bronze.sec_ftd, bronze.edgar_filings, bronze.news_corpus, bronze.econ_calendar, bronze.polymarket_signals. Bronze = raw, append-only, no transforms. Includes _metadata.file_path for lineage. ETL service principal writes via databricks-connect or DBFS mount.",5
BRNZ-2,WAVE 7,Bronze Layer,HIGH,OPEN,Add _rescued_data column handling for schema mismatches at Bronze ingest,"DLT auto-routes schema-mismatched fields to _rescued_data column rather than failing the pipeline. Implement: for each Bronze table, define expected schema. Mismatched rows land in _rescued_data as JSON string with source path. Daily monitoring query: SELECT COUNT(*) FROM midas.bronze.* WHERE _rescued_data IS NOT NULL. Alert via Slack if rescued_count > 0 on critical tables (fred_summary, tier_audit). This is the Databricks equivalent of our SCHEMA_DRIFT report (SC-3).",3
BRNZ-3,WAVE 7,Bronze Layer,MED,OPEN,Implement calculation hash (Gate 4) on Bronze model outputs,"For TIER_AUDIT and DOLLAR_DECOMP outputs: compute SHA-256 hash of the decision fields (regime_label, conviction_cap, dollar_composite) at Bronze write time. Store hash in bronze.tier_audit.output_hash column. On Silver promotion: recompute hash from Silver inputs. If hash diverges for same run_date: trigger CALCULATION_DRIFT alert to Slack. This solves the Gemini vs Claude model output drift problem explicitly. Gate 4 from the Medallion document.",3
SILV-1,WAVE 7,Silver Layer,HIGH,OPEN,Build Silver DLT pipeline — refined_market_prices streaming table,"DLT streaming table consuming bronze.market_data + bronze.fred_summary + bronze.polymarket_signals. Gate 1 (Schema): enforce price DOUBLE, timestamp DATE, ticker STRING NOT NULL. Gate 2 (Quality): EXPECT (price > 0) ON VIOLATION DROP ROW, EXPECT (ABS(brent_price - wti_price) < 15) ON VIOLATION QUARANTINE, EXPECT (vx1_vx2_ratio BETWEEN 0.80 AND 1.50) ON VIOLATION DROP ROW. Gate 3 (Entity): join through ENTITY_MAP, convert to canonical_id. Output: midas.silver.refined_market_prices with source_origin lineage column.",5
SILV-2,WAVE 7,Silver Layer,HIGH,OPEN,Build Silver DLT pipeline — sovereign_stress_monitor streaming table,"Consuming bronze.dollar_decomp + bronze.treasury_auctions + bronze.econ_calendar. Gate 1: enforce us_de_spread DOUBLE, auction_btc DOUBLE, event_time TIMESTAMP. Gate 2: EXPECT (us_de_spread IS NOT NULL) ON VIOLATION QUARANTINE, EXPECT (auction_btc > 0) ON VIOLATION DROP ROW, EXPECT (fra_ois_bps BETWEEN -10 AND 200) ON VIOLATION QUARANTINE. Gate 3: all timestamps to UTC, DOLLAR_DECOMP completeness check — all 4 layers (rates/funding/commodity/positioning) must be non-null before day is marked COMPLETE. Output: midas.silver.sovereign_stress_monitor.",5
SILV-3,WAVE 7,Silver Layer,HIGH,OPEN,Build Silver DLT pipeline — settlement_risk_indices streaming table,"Consuming bronze.sec_ftd + bronze.edgar_filings. Gate 1: enforce symbol STRING, quantity_fails INTEGER, settlement_date DATE. Gate 2: EXPECT (price > 0 OR price IS NULL) ON VIOLATION QUARANTINE (SEC_FTD has legitimate zero-price rows for newly listed securities), EXPECT (symbol matches master ticker list) ON VIOLATION DROP ROW. Gate 3: EDGAR entity names normalised through ENTITY_MAP. Output: midas.silver.settlement_risk_indices with TQQQ_FTD as first-class column.",3
SILV-4,WAVE 7,Silver Layer,HIGH,OPEN,Implement Great Expectations suite — 7 named expectations against ETL file types,"Deploy GX (pip install great-expectations) as validation layer between Bronze and Silver. Expectation Suite: dexter_midas_silver_suite. Seven named expectations from document: (1) price_positive: expect_column_values_to_be_greater_than(col=PRICE, val=0) on SEC_FTD. (2) brent_wti_spread: expect_column_pair_values_to_be_between(brent, wti, min=1, max=15) on COMMODITIES. (3) vx_ratio_logic: expect_column_value_to_be_true(VOL_WATCH_FLAG) IF vx_ratio BETWEEN 0.93 AND 1.05. (4) timestamp_format: expect_column_values_to_match_strftime_format(format=%Y-%m-%dT%H:%M:%S). (5) ticker_not_null: expect_column_values_to_not_be_null(col=ticker). (6) fred_yfinance_deviation: custom expectation ABS(fred_wti - yf_wti)/fred_wti < 0.02. (7) tier_completeness: expect TIER_NEG2 through TIER_5 all non-null before Gold publish. GX Data Docs written to dexter_data/gx_docs/ and uploaded to NotebookLM.",8
GOLD-1,WAVE 7,Gold Layer,HIGH,OPEN,Build mkt_regime_final Gold materialized view — REGIME_RULES.md as code,"Materialized view consuming silver.refined_market_prices + silver.sovereign_stress_monitor. Implements REGIME_RULES.md logic as SQL: Regime A: net_liq_roc < 0 AND fra_ois_bps BETWEEN 15 AND 40. Regime B: net_liq_roc > 0 AND fra_ois_bps < 15. Regime C: fra_ois_bps > 60 OR vx_ratio < 0.93. Gate 5 (Completeness quorum): do not publish Gold for run_date unless ALL critical Silver sources for that date are marked COMPLETE. If SEC_FTD is STALE: output Low_Confidence flag, not blocking. Output: midas.gold.mkt_regime_final (regime_label, confidence, signals_confirming, run_date).",5
GOLD-2,WAVE 7,Gold Layer,HIGH,OPEN,Build risk_sentinel_status Gold materialized view — SOUL.md §3/§4 as code,"Materialised view computing CONVICTION_CAP and RISK_SENTINEL_TRIGGER from Silver data. CONVICTION_CAP logic: 1.0 (clean) → 0.5 (stale WALCL/SOFR) → 0.4 (vx_ratio 0.93-1.05) → 0.0 (halt). RISK_SENTINEL_TRIGGER: YES if VIX>35 OR fra_ois_bps>60 OR vx_ratio<0.93 OR net_liq_roc_b<-150. Gold output replaces the TIER_AUDIT text file as the authoritative source for Phase 2 GatePass. Claude MCP queries this table instead of reading TIER_AUDIT text. Output: midas.gold.risk_sentinel_status (conviction_cap, sentinel_trigger, vol_watch, run_date).",5
GOLD-3,WAVE 7,Gold Layer,MED,OPEN,Build liquidity_gate Gold materialized view — MACRO_TIERS §Tier -2 as code,"Materialised view: net_liq_b = WALCL - TGA - RRP (from silver.sovereign_stress_monitor). is_blocked = CASE WHEN net_liq_roc_b < 0 THEN TRUE ELSE FALSE END. gate_status = OPEN/RESTRICTED/CLOSED per Phase 2 GatePass logic. max_positions = CASE regime: A=3, B=5, C=2. Output: midas.gold.liquidity_gate (gate_status, is_blocked, max_positions, position_size_scalar). Phase 2 GatePass agent reads this Gold table directly instead of re-deriving from raw ETL.",3
GOLD-4,WAVE 7,Gold Layer,MED,OPEN,Build backtest_integrity Gold table — DAILY_STATE.md shadow journal as first-class asset,"Append-only table consuming DAILY_STATE.md PHASE1_AGREEMENT field after each Phase 10 Sunday run. Schema: run_date, regime_label, phase1_agreement BOOL, phase1_delta TEXT, regime_dist_a FLOAT, regime_dist_b FLOAT, regime_dist_c FLOAT, dominant_signal TEXT. Compute rolling epistemic_accuracy = 30-day average of phase1_agreement. Alert via Slack if epistemic_accuracy drops below 60% (operator is diverging from model). This is the 'Human-in-the-loop Gold layer' from the document. Feeds directly into Wave 7 HMM regime classifier training as label source.",3
GOLD-5,WAVE 7,Gold Layer,MED,OPEN,Build sync_audit Gold table — DEXTER_SYNC_CONTRACT.md compliance as code,"Daily compliance check: verify ETL TRIGGERS dict values match SOUL §3 canonical thresholds. If any threshold drifts (e.g. fra_ois_watch_bps changes in code but not in SOUL §3): write SYNC_VIOLATION row to midas.gold.sync_audit. Schema: run_date, field_name, etl_value, soul_value, is_compliant BOOL, drift_note TEXT. Replaces manual SYNC_CONTRACT audit. Phase 10 auditor reads sync_audit instead of manual diff.",2
MCP-1,WAVE 7,Claude MCP Integration,HIGH,OPEN,Wire Claude MCP Databricks connector to Gold tables — read-only service principal,"Databricks MCP server already in AGENTS.md connected list (dbc-0df8fb6d-4908.cloud.databricks.com). Configure: Claude reads midas.gold.* tables via MCP SQL queries. Claude does NOT calculate regime — it queries mkt_regime_final and explains why. Claude does NOT compute CONVICTION_CAP — it reads risk_sentinel_status. Add to AGENTS.md: 'For regime classification queries, use Databricks MCP tool to query midas.gold.mkt_regime_final before Phase 1 analysis.' This eliminates calculation differences between Gemini and Claude lineages — both read from the same Gold table.",3
MCP-2,WAVE 7,Claude MCP Integration,MED,OPEN,Add Gold table query examples to Phase 0 and Phase 2 prompts in manifest,"Update MIDAS_SENTINEL_PROMPT_LIBRARY v2026.5: Phase 0 (Signal Aggregator): if Databricks MCP available, query midas.gold.risk_sentinel_status for run_date before reading TIER_AUDIT text. Gold table takes precedence over TIER_AUDIT text file when both available. Phase 2 (GatePass): query midas.gold.liquidity_gate for gate_status and scalars. Phase 5 (GMISR): query midas.gold.mkt_regime_final for regime_label and confidence. TIER_AUDIT text file remains fallback when Databricks MCP unavailable.",2
SYNC-4,WAVE 7,Docs,MED,OPEN,Update SYNC_CONTRACT v1.5 — Medallion layer mapping and temporal alignment standard,Add Medallion section: Bronze: raw ETL output files registered in Unity Catalog. Silver: three refined tables with DLT pipelines and GX expectations. Gold: four decision tables as materialized views — REGIME_RULES/SOUL/MACRO_TIERS/DAILY_STATE as code. Temporal alignment: all timestamps → ISO-8601 UTC via timestamp_normalise(). Entity resolution: all asset identifiers → canonical_id via ENTITY_MAP. Canonical Gold sources: midas.gold.* tables supersede ETL text files when available. Add Wave/item cross-reference table: which WBS item builds which Bronze/Silver/Gold table.,2
SYNC-5,WAVE 7,Docs,LOW,OPEN,Annotate existing Wave 2/3/6 items with Medallion layer equivalence notes,Add annotation to WBS descriptions for: AW-1/2/3/4 → 'local equivalent of Bronze→Silver Gate 1/2/3 logic.' SC-1/2/3 → 'local equivalent of Unity Catalog schema enforcement.' ID-3 → 'local equivalent of Delta Lake ACID write.' P1-1 → 'local Bronze layer; Wave 7 BRNZ-1 is the cloud version.' P2-1 → 'local Silver query layer; Wave 7 GOLD-1 is the cloud version.' This annotation prevents teams implementing both layers from duplicating logic rather than building the cloud version on top of the local version.,1
T4-1,WAVE 4,Scrapling,HIGH,OPEN,Add SI=F (Silver) — MARKET_DATA + COMMODITIES + Gold/Silver ratio,Add SI=F to yfinance fetch in run_market(). Include in MARKET_DATA_{date}.csv. Compute gs_ratio = GC=F / SI=F. Write gs_ratio to COMMODITIES section. Enables Gold/Silver ratio > 85 deflation signal per SOUL §3. T4-1 is prerequisite for T4-9 (ratio threshold flag). ETL version: 2.0.0.0 (part of MAJOR RATIO_SIGNALS wave).,2
T4-2,WAVE 4,Scrapling,HIGH,OPEN,Add CHF=X (USD/CHF) — sovereign fear / gold-adjacent demand signal,Add CHF=X to yfinance FX fetch in run_market(). Threshold: CHF=X < 0.88 = sovereign fear / gold-adjacent demand active. Write to FX_{date}.txt alongside existing JPY/AUD. Add CHF threshold to MACRO_TIERS v3.2 Tier 3 FX section. Add to SOUL §3 canonical ticker registry via SYNC_CONTRACT update.,2
T4-3,WAVE 4,Scrapling,HIGH,OPEN,Add AUDCNH=X (AUD/CNH) — China growth slowdown proxy,Add AUDCNH=X to yfinance FX fetch. Threshold: < 4.50 = China growth slowdown proxy (AUD is the China demand barometer). Write to FX_{date}.txt. Add to MACRO_TIERS v3.2 Tier 3. Add to SYNC_CONTRACT ticker registry.,2
T4-4,WAVE 4,Advanced Signals,HIGH,OPEN,Add TQQQ + SQQQ — NASDAQ momentum regime change signal,Add TQQQ and SQQQ to yfinance fetch in run_market(). Compute tqqq_sqqq_ratio = TQQQ / SQQQ. ROC sign flip on tqqq_sqqq_ratio = NASDAQ momentum regime change. Write ratio to EQUITIES section of TIER_AUDIT per SOUL §3. Note: tqqq_sqqq_ratio already partially referenced in existing items but the actual ticker fetch is not implemented.,2
T4-5,WAVE 4,Advanced Signals,HIGH,OPEN,Add UPRO + SPXU — broad S&P momentum vs tech divergence,Add UPRO and SPXU to yfinance fetch. Compute upro_spxu_ratio. Divergence from tqqq_sqqq_ratio = tech vs broad market rotation signal. Write to EQUITIES. MACRO_TIERS v3.1 Tier 5 reference. ETL 2.0.0.0.,2
T4-6,WAVE 4,Advanced Signals,MED,OPEN,"Add UDOW + SDOW — Dow momentum, lags UPRO = value/cyclical signal",Add UDOW and SDOW to yfinance fetch. Compute udow_sdow_ratio. Lags UPRO signal = value/cyclical underperformance confirmation. Three-ratio system: TQQQ/SQQQ (tech) → UPRO/SPXU (broad) → UDOW/SDOW (value). Write to EQUITIES. MACRO_TIERS Tier 5.,2
T4-7,WAVE 4,Advanced Signals,MED,OPEN,Add AGQ + ZSL — amplified silver signal vs Gold/Silver divergence,Add AGQ and ZSL to yfinance fetch. Compute agq_zsl_ratio. Amplified silver signal cross-referenced against gs_ratio (T4-9). AGQ/ZSL breaking out while gs_ratio > 85 = deflation + silver squeeze signal. Write to EQUITIES alongside existing TQQQ/SQQQ.,2
T4-9,WAVE 4,Advanced Signals,HIGH,OPEN,Compute Gold/Silver ratio > 85 threshold flag in TIER_AUDIT,Requires T4-1 (SI=F) to be live. Compute gs_ratio = GC=F price / SI=F price. Flag gs_warn = TRUE if gs_ratio > 85 (deflation / risk-off regime signal per SOUL §3). Write gs_ratio and gs_warn to TIER_AUDIT RATIO_SIGNALS section (T4-10). Threshold 85 documented in SYNC_CONTRACT as canonical.,2
T4-11,WAVE 4,Docs,MED,OPEN,Update DEXTER_SYNC_CONTRACT v1.5 — ticker registry to v2.0.0.0,"Add 7 new tickers to Canonical Ticker Registry: SI=F, CHF=X, AUDCNH=X, TQQQ, SQQQ, UPRO, SPXU, UDOW, SDOW, AGQ, ZSL. Log v2.0.0.0 sync event (MAJOR ETL bump). Add ratio thresholds: gs_ratio > 85 (deflation), chf < 0.88 (sovereign fear), audcnh < 4.50 (China slowdown). Version pairing: SYNC_CONTRACT v1.5 ↔ ETL 2.0.0.0.",1
IQ-1,WAVE 5,Advanced Signals,HIGH,OPEN,FRA-OIS Δ1 (velocity) and Δ2 (acceleration) — detect 40bps approach before arrival,Add to run_fred(): compute fra_ois_delta1 = current FRA-OIS − prior day FRA-OIS. Compute fra_ois_delta2 = delta1 − prior_delta1 (second derivative = acceleration). Write both to FRED_SUMMARY. Alert condition: delta1 > 2bps/day AND delta2 > 0 = accelerating toward watch zone. This is IQ-1a (velocity) prerequisite for Track B (IQ-8/ID:131 in Jira). ~20-line addition to run_fred(). ETL version 2.1.0.0.,3
